sample	plant	soil	site	location	wt	grp1	grp2	grp3	grp4	grp5	ID	Soil	Plant	Tray	Date	Week	Presence	Leaves	Flowering	Adj.Week	root.length	root.dry	shoot.height	plant.height	shoot.wet	shoot.root	shoot.dry	plant.moist	pm.percent	lat_lon	plot
g-ss-gil-3	Gilia	SS	.	greenhouse	0.25	gil.ss	g.ss	g.gil	g.gil.ss	sample	200	SS	Gilia	5	11/21/16	11	1	6	0	11	12	0.64	11.5	23.5	1.042	0.95833333	0.14	0.902	86.5642994	.	.
g-ss-gil-4	Gilia	SS	.	greenhouse	0.24	gil.ss	g.ss	g.gil	g.gil.ss	sample	195	SS	Gilia	6	11/21/16	11	1	4	0	11	12	0.23	16	28	1.12	1.33333333	0.17	0.95	84.8214286	.	.
g-ss-gil-5	Gilia	SS	.	greenhouse	0.25	gil.ss	g.ss	g.gil	g.gil.ss	sample	189	SS	Gilia	3	11/21/16	11	1	69	1	11	11.2	2.77	12.3	23.5	1.427	1.09821429	0.2323	1.1947	83.7210932	.	.
g-ss-gil-6	Gilia	SS	.	greenhouse	0.22	gil.ss	g.ss	g.gil	g.gil.ss	sample	181	SS	Gilia	1	11/21/16	11	1	19	0	11	11	1.19	19	30	3.087	1.72727273	0.87	2.217	71.8172984	.	.
g-ss-gil-7	Gilia	SS	.	greenhouse	0.25	gil.ss	g.ss	g.gil	g.gil.ss	sample	188	SS	Gilia	3	11/21/16	11	0	.	.	11	13.5	0.44	12.5	26	1.61	0.92592593	0.2113	1.3987	86.8757764	.	.
g-ss-gil-8	Gilia	SS	.	greenhouse	0.21	gil.ss	g.ss	g.gil	g.gil.ss	sample	197	SS	Gilia	8	11/21/16	11	1	10	0	11	12.5	0.45	10	22.5	0.407	0.8	0.05	0.357	87.7149877	.	.
g-ss-gil-9	Gilia	SS	.	greenhouse	0.24	gil.ss	g.ss	g.gil	g.gil.ss	sample	185	SS	Gilia	2	11/21/16	11	1	6	0	11	13	0	12	25	1.066	0.92307692	0.09	0.976	91.5572233	.	.
g-ss-pla-1	Plantago	SS	.	greenhouse	0.25	pla.ss	g.ss	g.pla	g.pla.ss	sample	225	SS	Plantago	5	11/21/16	11	0	.	.	10	.	0	.	.	.	.	.	.	.	.	.
g-ss-pla-10	Plantago	SS	.	greenhouse	0.07	pla.ss	g.ss	g.pla	g.pla.ss	sample	227	SS	Plantago	7	12/5/16	14	1	18	0	11	15.7	0.11	9	24.7	0.46	0.57324841	0.012	0.448	97.3913044	.	.
g-ss-pla-2	Plantago	SS	.	greenhouse	0.19	pla.ss	g.ss	g.pla	g.pla.ss	sample	214	SS	Plantago	4	11/21/16	11	1	5	0	11	13.3	0.48	7.3	20.6	0.101	0.54887218	0.0207	0.0803	79.5049505	.	.
g-ss-pla-3	Plantago	SS	.	greenhouse	0.23	pla.ss	g.ss	g.pla	g.pla.ss	sample	210	SS	Plantago	2	11/21/16	11	0	.	.	11	10.5	0.44	10	20.5	0.098	0.95238095	0.027	0.071	72.4489796	.	.
g-ss-pla-4	Plantago	SS	.	greenhouse	0.22	pla.ss	g.ss	g.pla	g.pla.ss	sample	207	SS	Plantago	1	11/21/16	11	1	2	0	11	14.5	0.45	5.5	20	0.046	0.37931034	0.028	0.018	39.1304348	.	.
g-ss-pla-5	Plantago	SS	.	greenhouse	0.22	pla.ss	g.ss	g.pla	g.pla.ss	sample	206	SS	Plantago	1	11/21/16	11	1	7	0	11	5.2	0.43	3.5	8.7	0.016	0.67307692	.	.	.	.	.
g-ss-pla-6	Plantago	SS	.	greenhouse	0.11	pla.ss	g.ss	g.pla	g.pla.ss	sample	219	SS	Plantago	6	11/21/16	11	1	111	1	11	7	0.44	4.5	11.5	0.026	0.64285714	0.0126	0.0134	51.5384615	.	.
g-ss-pla-7	Plantago	SS	.	greenhouse	0.16	pla.ss	g.ss	g.pla	g.pla.ss	sample	222	SS	Plantago	8	11/21/16	11	1	15	0	11	10.5	0.41	7	17.5	0.06	0.66666667	0.0174	0.0426	71	.	.
g-ss-pla-8	Plantago	SS	.	greenhouse	0.19	pla.ss	g.ss	g.pla	g.pla.ss	sample	221	SS	Plantago	8	12/12/16	15	1	15	0	11	15.6	0.01	8.4	24	0.31	0.53846154	0.05	0.26	83.8709677	.	.
g-ss-pla-9	Plantago	SS	.	greenhouse	0.01	pla.ss	g.ss	g.pla	g.pla.ss	sample	216	SS	Plantago	4	12/12/16	15	1	10	0	11	17	0	5.5	22.5	0.11	0.32352941	0.0218	0.0882	80.1818182	.	.
g-ss-tri-1	Trifolium	SS	.	greenhouse	0.3	tri.ss	g.ss	g.tri	g.tri.ss	sample	245	SS	Trifolium	8	11/21/16	11	1	9	0	11	12	0.19	15	27	1.636	1.25	0.28	1.356	82.8850856	.	.
g-ss-tri-10	Trifolium	SS	.	greenhouse	0.43	tri.ss	g.ss	g.tri	g.tri.ss	sample	241	SS	Trifolium	6	11/28/16	13	1	75	.	11	13.1	0.11	12.6	25.7	0.77	0.96183206	0.05	0.72	93.5064935	.	.
g-ss-tri-2	Trifolium	SS	.	greenhouse	0.25	tri.ss	g.ss	g.tri	g.tri.ss	sample	251	SS	Trifolium	7	11/21/16	11	1	4	0	11	11.2	0.22	20.3	31.5	1.719	1.8125	.	.	.	.	.
g-ss-tri-3	Trifolium	SS	.	greenhouse	0.25	tri.ss	g.ss	g.tri	g.tri.ss	sample	232	SS	Trifolium	2	11/21/16	11	1	6	0	11	12.5	0.1	13	25.5	0.63	1.04	0.07	0.56	88.8888889	.	.
g-ss-tri-4	Trifolium	SS	.	greenhouse	0.24	tri.ss	g.ss	g.tri	g.tri.ss	sample	249	SS	Trifolium	5	11/21/16	11	1	15	0	11	11.5	0.42	21	32.5	3.501	1.82608696	0.76	2.741	78.2919166	.	.
g-ss-tri-5	Trifolium	SS	.	greenhouse	0.25	tri.ss	g.ss	g.tri	g.tri.ss	sample	242	SS	Trifolium	6	11/21/16	11	1	7	0	11	15	2.87	24	39	2.915	1.6	0.72	2.195	75.3001715	.	.
g-ss-tri-6	Trifolium	SS	.	greenhouse	0.25	tri.ss	g.ss	g.tri	g.tri.ss	sample	233	SS	Trifolium	2	11/21/16	11	1	9	0	11	11	1.13	17	28	2.69	1.54545455	0.56	2.13	79.1821561	.	.
g-ss-tri-7	Trifolium	SS	.	greenhouse	0.18	tri.ss	g.ss	g.tri	g.tri.ss	sample	239	SS	Trifolium	4	11/28/16	13	1	52	1	11	13.5	0.35	19.5	33	1.25	1.44444444	0.23	1.02	81.6	.	.
g-ss-tri-8	Trifolium	SS	.	greenhouse	0.03	tri.ss	g.ss	g.tri	g.tri.ss	sample	235	SS	Trifolium	3	11/28/16	13	1	24	.	11	11.7	0.13	13.8	25.5	0.31	1.17948718	0.0856	0.2244	72.3870968	.	.
g-ss-tri-9	Trifolium	SS	.	greenhouse	0.03	tri.ss	g.ss	g.tri	g.tri.ss	sample	230	SS	Trifolium	1	12/12/16	15	1	9	0	11	3.6	0.05	4.5	8.1	0.03	1.25	0.0064	0.0236	78.6666667	.	.
f-ns-mcl-1	Bulk	Nonserpentine	MCL	field	0.33	bulk.nonserp	f.nonserp	f.bulk	f.bulk.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-col-mcl-10	Collinsia	Nonserpentine	MCL	field	0.24	col.nonserp	f.nonserp	f.col	f.col.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-col-mcl-6	Collinsia	Nonserpentine	MCL	field	0.13	col.nonserp	f.nonserp	f.col	f.col.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-col-mcl-7	Collinsia	Nonserpentine	MCL	field	0.34	col.nonserp	f.nonserp	f.col	f.col.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-col-mcl-8	Collinsia	Nonserpentine	MCL	field	0.18	col.nonserp	f.nonserp	f.col	f.col.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-col-mcl-9	Collinsia	Nonserpentine	MCL	field	0.14	col.nonserp	f.nonserp	f.col	f.col.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-gil-mcl-10	Gilia	Nonserpentine	MCL	field	0.3	gil.nonserp	f.nonserp	f.gil	f.gil.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-gil-mcl-6	Gilia	Nonserpentine	MCL	field	0.29	gil.nonserp	f.nonserp	f.gil	f.gil.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-gil-mcl-7	Gilia	Nonserpentine	MCL	field	0.28	gil.nonserp	f.nonserp	f.gil	f.gil.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-gil-mcl-8	Gilia	Nonserpentine	MCL	field	0.3	gil.nonserp	f.nonserp	f.gil	f.gil.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-gil-mcl-9	Gilia	Nonserpentine	MCL	field	0.47	gil.nonserp	f.nonserp	f.gil	f.gil.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-pla-mcl-10	Plantago	Nonserpentine	MCL	field	0.05	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-pla-mcl-6	Plantago	Nonserpentine	MCL	field	0.29	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-pla-mcl-7	Plantago	Nonserpentine	MCL	field	0.02	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-pla-mcl-8	Plantago	Nonserpentine	MCL	field	0.15	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-pla-mcl-9	Plantago	Nonserpentine	MCL	field	0.22	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82715, -122.34918"	5
f-ns-gil-mcl-1	Gilia	Nonserpentine	MCL	field	0.58	gil.nonserp	f.nonserp	f.gil	f.gil.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-gil-mcl-2	Gilia	Nonserpentine	MCL	field	0.45	gil.nonserp	f.nonserp	f.gil	f.gil.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-gil-mcl-3	Gilia	Nonserpentine	MCL	field	0.27	gil.nonserp	f.nonserp	f.gil	f.gil.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-gil-mcl-4	Gilia	Nonserpentine	MCL	field	0.99	gil.nonserp	f.nonserp	f.gil	f.gil.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-gil-mcl-5	Gilia	Nonserpentine	MCL	field	0.3	gil.nonserp	f.nonserp	f.gil	f.gil.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-mcl-2	Bulk	Nonserpentine	MCL	field	0.32	bulk.nonserp	f.nonserp	f.bulk	f.bulk.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-pla-mcl-1	Plantago	Nonserpentine	MCL	field	0.2	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-pla-mcl-2	Plantago	Nonserpentine	MCL	field	0.23	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-pla-mcl-3	Plantago	Nonserpentine	MCL	field	0.23	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-pla-mcl-4	Plantago	Nonserpentine	MCL	field	0.1	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-pla-mcl-5	Plantago	Nonserpentine	MCL	field	0.15	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.82844, -122.35089"	6
f-ns-col-mcl-1	Collinsia	Nonserpentine	MCL	field	0.23	col.nonserp	f.nonserp	f.col	f.col.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.84109, -122.35793"	8
f-ns-col-mcl-2	Collinsia	Nonserpentine	MCL	field	0.24	col.nonserp	f.nonserp	f.col	f.col.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.84109, -122.35793"	8
f-ns-col-mcl-3	Collinsia	Nonserpentine	MCL	field	0.54	col.nonserp	f.nonserp	f.col	f.col.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.84109, -122.35793"	8
f-ns-col-mcl-4	Collinsia	Nonserpentine	MCL	field	0.17	col.nonserp	f.nonserp	f.col	f.col.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.84109, -122.35793"	8
f-ns-col-mcl-5	Collinsia	Nonserpentine	MCL	field	0.39	col.nonserp	f.nonserp	f.col	f.col.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.84109, -122.35793"	8
f-s-col-mcl-10	Collinsia	Serpentine	MCL	field	0.22	col.serp	f.serp	f.col	f.col.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-col-mcl-4	Collinsia	Serpentine	MCL	field	0.34	col.serp	f.serp	f.col	f.col.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-col-mcl-5	Collinsia	Serpentine	MCL	field	0.38	col.serp	f.serp	f.col	f.col.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-col-mcl-6	Collinsia	Serpentine	MCL	field	0.18	col.serp	f.serp	f.col	f.col.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-col-mcl-9	Collinsia	Serpentine	MCL	field	0.14	col.serp	f.serp	f.col	f.col.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-gil-mcl-10	Gilia	Serpentine	MCL	field	0.35	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-gil-mcl-6	Gilia	Serpentine	MCL	field	0.01	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-gil-mcl-7	Gilia	Serpentine	MCL	field	0.19	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-gil-mcl-8	Gilia	Serpentine	MCL	field	0.17	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-gil-mcl-9	Gilia	Serpentine	MCL	field	0.4	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-mcl-2	Bulk	Serpentine	MCL	field	0.33	bulk.serp	f.serp	f.bulk	f.bulk.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-pla-mcl-10	Plantago	Serpentine	MCL	field	0.15	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-pla-mcl-6	Plantago	Serpentine	MCL	field	0.15	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-pla-mcl-7	Plantago	Serpentine	MCL	field	0.08	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-pla-mcl-8	Plantago	Serpentine	MCL	field	0.16	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-pla-mcl-9	Plantago	Serpentine	MCL	field	0.2	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86023, -122.40635"	2
f-s-gil-mcl-1	Gilia	Serpentine	MCL	field	0.19	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86093, -122.40735"	3
f-s-gil-mcl-2	Gilia	Serpentine	MCL	field	0.58	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86093, -122.40735"	3
f-s-gil-mcl-3	Gilia	Serpentine	MCL	field	0.26	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86093, -122.40735"	3
f-s-gil-mcl-4	Gilia	Serpentine	MCL	field	0.62	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86093, -122.40735"	3
f-s-gil-mcl-5	Gilia	Serpentine	MCL	field	0.42	gil.serp	f.serp	f.gil	f.gil.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86093, -122.40735"	3
f-ns-tri-mcl-10	Trifolium	Nonserpentine	MCL	field	0.3	tri.nonserp	f.nonserp	f.tri	f.tri.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86218, -122.4057"	9
f-ns-tri-mcl-6	Trifolium	Nonserpentine	MCL	field	0.15	tri.nonserp	f.nonserp	f.tri	f.tri.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86218, -122.4057"	9
f-ns-tri-mcl-7	Trifolium	Nonserpentine	MCL	field	0.55	tri.nonserp	f.nonserp	f.tri	f.tri.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86218, -122.4057"	9
f-ns-tri-mcl-8	Trifolium	Nonserpentine	MCL	field	0.18	tri.nonserp	f.nonserp	f.tri	f.tri.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86218, -122.4057"	9
f-ns-tri-mcl-9	Trifolium	Nonserpentine	MCL	field	0.09	tri.nonserp	f.nonserp	f.tri	f.tri.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86218, -122.4057"	9
f-ns-tri-mcl-1	Trifolium	Nonserpentine	MCL	field	0.23	tri.nonserp	f.nonserp	f.tri	f.tri.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86243, -122.40494"	10
f-ns-tri-mcl-2	Trifolium	Nonserpentine	MCL	field	0.7	tri.nonserp	f.nonserp	f.tri	f.tri.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86243, -122.40494"	10
f-ns-tri-mcl-3	Trifolium	Nonserpentine	MCL	field	0.16	tri.nonserp	f.nonserp	f.tri	f.tri.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86243, -122.40494"	10
f-ns-tri-mcl-4	Trifolium	Nonserpentine	MCL	field	0.54	tri.nonserp	f.nonserp	f.tri	f.tri.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86243, -122.40494"	10
f-ns-tri-mcl-5	Trifolium	Nonserpentine	MCL	field	0.34	tri.nonserp	f.nonserp	f.tri	f.tri.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86243, -122.40494"	10
f-s-tri-mcl-10	Trifolium	Serpentine	MCL	field	0.13	tri.serp	f.serp	f.tri	f.tri.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86527, -122.40259"	4
f-s-tri-mcl-6	Trifolium	Serpentine	MCL	field	0.14	tri.serp	f.serp	f.tri	f.tri.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86527, -122.40259"	4
f-s-tri-mcl-7	Trifolium	Serpentine	MCL	field	0.37	tri.serp	f.serp	f.tri	f.tri.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86527, -122.40259"	4
f-s-tri-mcl-8	Trifolium	Serpentine	MCL	field	0.18	tri.serp	f.serp	f.tri	f.tri.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86527, -122.40259"	4
f-s-tri-mcl-9	Trifolium	Serpentine	MCL	field	0.41	tri.serp	f.serp	f.tri	f.tri.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86527, -122.40259"	4
f-s-col-mcl-1	Collinsia	Serpentine	MCL	field	0.38	col.serp	f.serp	f.col	f.col.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-col-mcl-2	Collinsia	Serpentine	MCL	field	0.34	col.serp	f.serp	f.col	f.col.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-col-mcl-3	Collinsia	Serpentine	MCL	field	0.35	col.serp	f.serp	f.col	f.col.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-col-mcl-7	Collinsia	Serpentine	MCL	field	0.18	col.serp	f.serp	f.col	f.col.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-col-mcl-8	Collinsia	Serpentine	MCL	field	0.38	col.serp	f.serp	f.col	f.col.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-mcl-1	Bulk	Serpentine	MCL	field	0.31	bulk.serp	f.serp	f.bulk	f.bulk.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-pla-mcl-1	Plantago	Serpentine	MCL	field	0.12	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-pla-mcl-2	Plantago	Serpentine	MCL	field	0.15	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-pla-mcl-3	Plantago	Serpentine	MCL	field	0.16	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-pla-mcl-4	Plantago	Serpentine	MCL	field	0.22	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-pla-mcl-5	Plantago	Serpentine	MCL	field	0.01	pla.serp	f.serp	f.pla	f.pla.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-tri-mcl-1	Trifolium	Serpentine	MCL	field	0.29	tri.serp	f.serp	f.tri	f.tri.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-tri-mcl-2	Trifolium	Serpentine	MCL	field	0.16	tri.serp	f.serp	f.tri	f.tri.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-tri-mcl-3	Trifolium	Serpentine	MCL	field	0.14	tri.serp	f.serp	f.tri	f.tri.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-tri-mcl-4	Trifolium	Serpentine	MCL	field	0.32	tri.serp	f.serp	f.tri	f.tri.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-s-tri-mcl-5	Trifolium	Serpentine	MCL	field	0.09	tri.serp	f.serp	f.tri	f.tri.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.86531, -122.40184"	1
f-ns-hop-2	Bulk	Nonserpentine	HOP	field	0.53	bulk.nonserp	f.nonserp	f.bulk	f.bulk.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98367, -123.06842"	14
f-ns-pla-hop-1	Plantago	Nonserpentine	HOP	field	0.34	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98367, -123.06842"	14
f-ns-pla-hop-2	Plantago	Nonserpentine	HOP	field	0.2	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98367, -123.06842"	14
f-ns-pla-hop-3	Plantago	Nonserpentine	HOP	field	0.53	pla.nonserp	f.nonserp	f.pla	f.pla.nonserp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"38.98367, -123.06842"	14
